peers,n,cr_3b,cr_7b,delta_7b_minus_3b,ci_low,ci_high,b,c,p_raw,p_holm
1,450,0.006666666666666667,0.8511111111111112,0.8444444444444444,0.8088888888888889,0.8777777777777778,0,380,8.121413879410078e-115,2.4364241638230233e-114
3,450,0.6577777777777778,1.0,0.3422222222222222,0.3,0.38666666666666666,0,154,8.758115402030107e-47,8.758115402030107e-47
5,450,0.5711111111111111,1.0,0.4288888888888889,0.38222222222222224,0.47555555555555556,0,193,1.5930919111324523e-58,3.1861838222649046e-58
