contrast,n,interaction,ci_low,ci_high
1_to_3,450,-0.5022222222222222,-0.5577777777777778,-0.44666666666666666
3_to_5,450,0.08666666666666667,0.051111111111111114,0.12222222222222222
1_to_5,450,-0.41555555555555557,-0.4711111111111111,-0.35777777777777775
