comparison,lower_peers,higher_peers,n,cr_lower,cr_higher,delta_higher_minus_lower,ci_low,ci_high,b,c,p_raw,p_holm
1_vs_3,1,3,467,0.010706638115631691,0.6638115631691649,0.6531049250535332,0.6081370449678801,0.6980728051391863,1,306,2.362501230174531e-90,7.087503690523593e-90
3_vs_5,3,5,467,0.6638115631691649,0.576017130620985,-0.08779443254817987,-0.11991434689507495,-0.05353319057815846,55,14,6.921916920059638e-07,6.921916920059638e-07
1_vs_5,1,5,467,0.010706638115631691,0.576017130620985,0.5653104925053534,0.5182012847965739,0.6102783725910065,1,265,4.50362696134808e-78,9.00725392269616e-78
