peer_count,accuracy,adopt,cr,hcr
1,0.738,0.066,0.010706638115631691,0.005434782608695652
3,0.252,0.686,0.6638115631691649,0.654891304347826
5,0.33,0.604,0.576017130620985,0.5543478260869565
