condition,common_valid_n,cr_n,hcr_n,accuracy,adopt,cr,hcr
bare,500,467,368,0.33,0.604,0.576017130620985,0.5543478260869565
rationale,500,467,368,0.112,0.864,0.854389721627409,0.8478260869565217
